Observed cones colored
YELLOW | x:3.1539732684766135 y:3.2160933228744164
YELLOW | x:1.8230733543708801 y:15.333913264107492
YELLOW | x:0.738126299786059 y:16.734751378073934
YELLOW | x:2.74373301566391 y:13.529240284934286
YELLOW | x:3.2753288351901584 y:7.339406352481553
YELLOW | x:3.259373483069229 y:11.26197679298584
YELLOW | x:-0.3584626015615251 y:18.214230028696832
YELLOW | x:3.3132843552675153 y:9.128976512242286
YELLOW | x:3.146612567710368 y:5.279929044420165
YELLOW | x:-1.8769904504145305 y:19.512198681210126

BLUE | x:-6.10466239153595 y:4.470709815198822
BLUE | x:-7.857896301142883 y:5.407110049898071
BLUE | x:-9.06683244936252 y:5.926649697530245
YELLOW | x:1.8812012503618873 y:2.7048475702893615
YELLOW | x:-3.0392707685684153 y:8.250005514361737
YELLOW | x:-4.345616289965821 y:9.096049844559577
YELLOW | x:-7.090065194162242 y:10.27932396985555
YELLOW | x:-12.766556858677843 y:10.63205138303304
YELLOW | x:-10.850993248812866 y:10.937163109158123
YELLOW | x:-1.6337779343053818 y:7.1132218982524105
YELLOW | x:-8.483102970314533 y:10.76062149462565
YELLOW | x:-0.1646415558879693 y:5.70801893331075
YELLOW | x:0.8419714366470655 y:4.161694590821507
YELLOW | x:-5.729728350035858 y:9.776345875436705

BLUE | x:-2.673304828993988 y:2.7981804555402627
BLUE | x:-13.58788845240326 y:8.842553749257965
BLUE | x:-11.296977135531616 y:9.001049314513446
BLUE | x:-9.091165809822591 y:8.856186336849772
BLUE | x:-6.497425913472154 y:8.21322661761573
BLUE | x:-3.7050997346565246 y:5.916470363313598
BLUE | x:-4.672698279413096 y:7.015464176510415
BLUE | x:-3.2186345338747024 y:4.665608788107477
YELLOW | x:2.302376058705139 y:3.1566666078977885
YELLOW | x:-13.148842379443359 y:13.886520110144858
YELLOW | x:-11.197251105726842 y:13.900739130806711
YELLOW | x:-9.688821374085345 y:13.794419703316477
YELLOW | x:-2.915250410770743 y:11.815280261780892
YELLOW | x:0.8531461527024587 y:7.487899933829549
YELLOW | x:-1.3037277440155663 y:10.607605849280597
YELLOW | x:1.479934003956604 y:6.205650032799749
YELLOW | x:-6.285260304233514 y:13.251543368899043
YELLOW | x:0.199154982081706 y:8.827910607299517
YELLOW | x:-8.115409514300538 y:13.706025674516601
YELLOW | x:-4.4512635797187805 y:12.726412092223407
YELLOW | x:1.9364398723915102 y:4.711779477769775

YELLOW | x:1.8817479059556619 y:2.5213173635090285
YELLOW | x:-12.527963849894714 y:14.423614099199218
YELLOW | x:-11.085170599810791 y:12.502268626863403
YELLOW | x:-9.459541863526749 y:11.054102812781576
YELLOW | x:-5.84934133517566 y:9.415908967032673
YELLOW | x:-7.673331519953918 y:10.211245134050293
YELLOW | x:-1.6260436157311122 y:6.901884033853454
YELLOW | x:-3.1434308702120743 y:8.030593253856653
YELLOW | x:0.8817516783947628 y:4.21258572198415
YELLOW | x:-0.1673868427599589 y:5.6961922392990605
YELLOW | x:-4.526488992564393 y:8.73306716009111

BLUE | x:-2.069838795058441 y:3.5546313536577516
BLUE | x:-2.780729679684921 y:7.586413387176892
BLUE | x:-2.500039163224411 y:5.8012496973818966
BLUE | x:-2.579171530398242 y:8.74206795153483
BLUE | x:-2.106599557392311 y:11.115278645927352
BLUE | x:-1.4756519347354888 y:13.251505067521974
BLUE | x:-0.14677208363265992 y:15.417383077318114
BLUE | x:1.5297591110144932 y:16.820876155867822
BLUE | x:3.4386892348602296 y:17.926982476884767
BLUE | x:5.44070544541626 y:18.689305474931643
YELLOW | x:2.9253300129022506 y:2.474912561408466
YELLOW | x:2.3735022568624253 y:7.96393168001267
YELLOW | x:3.691741980123011 y:12.287156139388324
YELLOW | x:7.284001252724881 y:14.078819327792834
YELLOW | x:2.817313843641832 y:3.981057784201016
YELLOW | x:2.5759874651903787 y:5.97442137656077
YELLOW | x:10.0154971947347 y:14.473588032101235
YELLOW | x:11.775223210461427 y:14.886361673051757
YELLOW | x:2.761440267805111 y:10.042844319011321
YELLOW | x:5.154385911432393 y:13.372787629142051
YELLOW | x:8.893209508068848 y:14.468328931505127
YELLOW | x:3.061526245879618 y:11.364527776414795

BLUE | x:-1.2086199690823873 y:3.7414320732897948
BLUE | x:-0.49663971363754267 y:5.803009727174682
BLUE | x:0.9106394618824005 y:7.889536454851074
BLUE | x:2.58420083417892 y:9.210071887575799
BLUE | x:13.480675023205567 y:12.743200929338379
BLUE | x:12.274335291989136 y:12.068318441087646
BLUE | x:14.343085196621704 y:13.6291111256427
BLUE | x:8.916434910900879 y:11.48830630505215
BLUE | x:4.511328478803581 y:10.257025990319041
BLUE | x:10.482732033311244 y:11.618224694902345
BLUE | x:6.52318866253643 y:10.957478925163192
YELLOW | x:3.914466050274658 y:3.70613032702735
YELLOW | x:6.026085300615554 y:5.6395534990701774
YELLOW | x:10.98779263795166 y:6.635189368898315
YELLOW | x:9.799154010422516 y:6.611088558608932
YELLOW | x:8.198767490195719 y:6.285889866525572
YELLOW | x:4.531041052944946 y:4.602617774977925

BLUE | x:-1.4170085829421997 y:3.387877247507019
BLUE | x:0.9932701319530487 y:6.8449828411883535
BLUE | x:-0.3446398258134842 y:5.192185221686604
BLUE | x:2.7373728126361847 y:8.570966264845241
BLUE | x:3.9632913076289706 y:9.477753607340631
BLUE | x:5.878617671139526 y:15.024039819414062
BLUE | x:5.250819431749471 y:10.800973820594923
BLUE | x:4.9870187312438965 y:16.648009374315187
BLUE | x:6.216975477345276 y:13.278171454444172
YELLOW | x:4.8104464083984375 y:3.7406779076403804
YELLOW | x:10.124600079663086 y:9.383903768236085
YELLOW | x:10.880188865470378 y:10.698935614600423
YELLOW | x:8.261112359173584 y:6.748657896692198
YELLOW | x:11.264775183804321 y:12.312161758119506
